STATE,STATEABBRV,COUNTY,AVLN_RISKR,CFLD_RISKR,CWAV_RISKR,DRGT_RISKR,ERQK_RISKR,HAIL_RISKR,HWAV_RISKR,HRCN_RISKR,ISTM_RISKR,LNDS_RISKR,LTNG_RISKR,RFLD_RISKR,SWND_RISKR,TRND_RISKR,TSUN_RISKR,VLCN_RISKR,WFIR_RISKR,WNTW_RISKR
Alabama,AL,Montgomery,Not Applicable,Not Applicable,No Rating,Relatively Low,Relatively Low,Very Low,Relatively High,Relatively Low,Relatively Low,Relatively Low,Relatively High,Relatively Low,Relatively High,Relatively High,Not Applicable,Not Applicable,Very Low,Very Low
Alabama,AL,Morgan,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively High,Relatively High,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Alabama,AL,Perry,Not Applicable,Not Applicable,No Rating,Very Low,Very Low,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Very Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Alabama,AL,Pickens,Not Applicable,Not Applicable,No Rating,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Alabama,AL,Pike,Not Applicable,Not Applicable,No Rating,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Very Low,Relatively Moderate,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Alabama,AL,Randolph,Not Applicable,Not Applicable,No Rating,Very Low,Very Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Alabama,AL,Russell,Not Applicable,Not Applicable,No Rating,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Alabama,AL,St. Clair,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Very Low,Relatively Moderate,Very Low,Very Low,Relatively Moderate,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Alabama,AL,Shelby,Not Applicable,Not Applicable,No Rating,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively Low,Relatively Moderate,Relatively High,Not Applicable,Not Applicable,Very Low,Relatively Low
Alabama,AL,Sumter,Not Applicable,Not Applicable,No Rating,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Alabama,AL,Talladega,Not Applicable,Not Applicable,No Rating,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Very Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Alabama,AL,Tallapoosa,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Very Low,Relatively Moderate,Relatively Low,Very Low,Relatively Low,Relatively Moderate,Very Low,Relatively Low,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very Low
Alabama,AL,Tuscaloosa,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Relatively Low,Relatively High,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively Moderate,Relatively High,Not Applicable,Not Applicable,Very Low,Relatively Low
Alabama,AL,Walker,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Relatively Low,Relatively Moderate,Very Low,Relatively Moderate,Relatively Moderate,Relatively Low,Relatively Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Relatively Low
Alabama,AL,Washington,Not Applicable,Very Low,No Rating,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Insufficient Data,Not Applicable,Relatively Low,Very Low
Alabama,AL,Wilcox,Not Applicable,Not Applicable,No Rating,Very Low,Very Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Not Applicable,Not Applicable,Very Low,Very Low
Alabama,AL,Winston,Not Applicable,Not Applicable,No Rating,Very Low,Relatively Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Relatively Low,Relatively Low,Very Low,Relatively Moderate,Relatively Moderate,Not Applicable,Not Applicable,Very Low,Very Low
Alaska,AK,Aleutians East,Very Low,No Rating,No Rating,No Rating,Relatively Low,No Rating,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,No Rating,No Rating,Very Low,Relatively Moderate,Relatively Low,Very Low,Very Low
Alaska,AK,Aleutians West,Not Applicable,No Rating,No Rating,No Rating,Relatively Low,No Rating,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,No Rating,No Rating,Very Low,Relatively High,Relatively Moderate,No Rating,Very Low
Alaska,AK,Anchorage,Relatively High,Very Low,No Rating,No Rating,Relatively High,Very Low,No Rating,Not Applicable,Relatively Low,Insufficient Data,Insufficient Data,Relatively Low,No Rating,Very Low,No Rating,No Rating,Relatively Low,Relatively Low
Alaska,AK,Bethel,Very Low,No Rating,Relatively Moderate,No Rating,Very Low,Very Low,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Relatively Low,Very Low,Very Low,Not Applicable,Very Low,Relatively Low,Relatively Moderate
Alaska,AK,Bristol Bay,Not Applicable,No Rating,No Rating,No Rating,Very Low,No Rating,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,No Rating,No Rating,Very Low,Not Applicable,Very Low,Very Low,Very Low
Alaska,AK,Chugach,Very Low,Very Low,Very Low,No Rating,Relatively Low,Very Low,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Very Low,No Rating,Very Low,Relatively Low,No Rating,Very Low,Relatively Low
Alaska,AK,Copper River,Very Low,No Rating,Very Low,No Rating,Very Low,Very Low,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,No Rating,No Rating,Very Low,No Rating,Relatively Low,Relatively Low,Very Low
Alaska,AK,Denali,Relatively Moderate,Not Applicable,Very Low,No Rating,Very Low,Very Low,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,No Rating,No Rating,Very Low,Not Applicable,Not Applicable,Relatively Low,Very Low
Alaska,AK,Dillingham,Very Low,Very Low,No Rating,No Rating,Very Low,Very Low,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Relatively Low,Very Low,Very Low,No Rating,Not Applicable,Very Low,Relatively Low
Alaska,AK,Fairbanks North Star,Not Applicable,Not Applicable,Relatively High,No Rating,Relatively Moderate,Very Low,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Relatively Low,No Rating,Very Low,Not Applicable,Not Applicable,Relatively High,Very Low
Alaska,AK,Haines,Relatively Low,No Rating,No Rating,No Rating,Relatively Low,No Rating,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Very Low,No Rating,Very Low,Relatively Low,Not Applicable,Very Low,Relatively Low
Alaska,AK,Hoonah-Angoon,Relatively Low,Very Low,No Rating,No Rating,Relatively Low,No Rating,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Very Low,No Rating,Very Low,Very Low,Not Applicable,Very Low,Very Low
Alaska,AK,Juneau,Relatively Low,Very Low,No Rating,No Rating,Relatively Low,No Rating,No Rating,Not Applicable,Relatively Low,Insufficient Data,Insufficient Data,Very Low,No Rating,Very Low,Relatively Low,Not Applicable,Very Low,Relatively Moderate
Alaska,AK,Kenai Peninsula,Very High,Very Low,No Rating,Very Low,Relatively Moderate,Very Low,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Relatively Moderate,No Rating,Very Low,Relatively High,Relatively High,Relatively High,Relatively Moderate
Alaska,AK,Ketchikan Gateway,Not Applicable,No Rating,No Rating,No Rating,Very Low,No Rating,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Very Low,No Rating,Very Low,No Rating,Very Low,Very Low,Relatively Low
Alaska,AK,Kodiak Island,Not Applicable,No Rating,No Rating,No Rating,Relatively Moderate,No Rating,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,No Rating,No Rating,Very Low,Relatively Moderate,Very Low,Very Low,Relatively Moderate
Alaska,AK,Kusilvak,Not Applicable,No Rating,Very Low,No Rating,Very Low,Very Low,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Relatively Low,Very Low,Very Low,Not Applicable,Not Applicable,Very Low,Relatively Moderate
Alaska,AK,Lake and Peninsula,Very Low,No Rating,No Rating,No Rating,Very Low,Very Low,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Very Low,No Rating,Very Low,Relatively Low,Relatively Low,Very Low,Very Low
Alaska,AK,Matanuska-Susitna,Very High,No Rating,Very Low,No Rating,Relatively Moderate,Very Low,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Relatively Low,No Rating,Very Low,No Rating,Very Low,Relatively Moderate,Very Low
Alaska,AK,Nome,Very Low,Very Low,Relatively Low,No Rating,Very Low,No Rating,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Very Low,No Rating,Very Low,No Rating,Not Applicable,Very Low,Relatively Moderate
Alaska,AK,North Slope,Relatively Moderate,No Rating,Relatively High,No Rating,Very Low,No Rating,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,No Rating,No Rating,Very Low,Not Applicable,Not Applicable,Very Low,Relatively Low
Alaska,AK,Northwest Arctic,Not Applicable,Very Low,Relatively Moderate,No Rating,Very Low,No Rating,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Very Low,No Rating,Very Low,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate
Alaska,AK,Petersburg,Very Low,Very Low,No Rating,No Rating,Very Low,No Rating,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Very Low,No Rating,Very Low,No Rating,No Rating,Very Low,Very Low
Alaska,AK,Prince of Wales-Hyder,Not Applicable,No Rating,No Rating,No Rating,Very Low,No Rating,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,No Rating,No Rating,Very Low,No Rating,Very Low,Very Low,Very Low
Alaska,AK,Sitka,Very Low,Very Low,No Rating,No Rating,Relatively Low,No Rating,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Relatively Low,No Rating,Very Low,Relatively Moderate,Not Applicable,Very Low,Very Low
Alaska,AK,Skagway,Relatively Low,No Rating,Relatively Low,No Rating,Very Low,No Rating,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Very Low,No Rating,Very Low,Relatively Low,Not Applicable,Very Low,Very Low
Alaska,AK,Southeast Fairbanks,Relatively Moderate,Not Applicable,Relatively Low,No Rating,Relatively Low,Very Low,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Relatively Low,No Rating,Very Low,Not Applicable,No Rating,Relatively Moderate,Very Low
Alaska,AK,Wrangell,Very Low,Very Low,No Rating,No Rating,Very Low,No Rating,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Very Low,No Rating,Very Low,No Rating,Very Low,Very Low,Very Low
Alaska,AK,Yakutat,Not Applicable,No Rating,No Rating,No Rating,Relatively Low,No Rating,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,No Rating,No Rating,Very Low,Relatively Low,Not Applicable,Very Low,Very Low
Alaska,AK,Yukon-Koyukuk,Very Low,Not Applicable,Relatively Moderate,No Rating,Very Low,Very Low,No Rating,Not Applicable,Very Low,Insufficient Data,Insufficient Data,Relatively Moderate,No Rating,Very Low,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low
Arizona,AZ,Apache,Not Applicable,Not Applicable,Relatively Low,Relatively Moderate,Very Low,Very Low,Very Low,Very Low,Relatively Low,Relatively Low,Relatively High,Very Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low
Arizona,AZ,Cochise,Not Applicable,Not Applicable,Very Low,Relatively High,Relatively Low,Very Low,Relatively Moderate,Very Low,Not Applicable,Relatively Moderate,Relatively High,Relatively Moderate,Relatively Low,Very Low,Not Applicable,Not Applicable,Relatively High,Relatively Low
Arizona,AZ,Coconino,Very Low,Not Applicable,Relatively Moderate,Very Low,Relatively Low,Very Low,Very Low,Not Applicable,Relatively Low,Relatively High,Very High,Relatively High,Very Low,Very Low,Not Applicable,Not Applicable,Relatively High,Relatively Moderate
Arizona,AZ,Gila,Not Applicable,Not Applicable,Very Low,Relatively Low,Relatively Low,Very Low,Relatively Low,Very Low,Not Applicable,Relatively High,Relatively High,Relatively Moderate,Relatively Low,Very Low,Not Applicable,Not Applicable,Relatively High,Relatively Low
Arizona,AZ,Graham,Not Applicable,Not Applicable,Very Low,Relatively High,Relatively Low,Very Low,Relatively Moderate,Very Low,Not Applicable,Relatively Low,Very Low,Relatively Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Moderate,Relatively Low
Arizona,AZ,Greenlee,Not Applicable,Not Applicable,Very Low,Relatively Low,Very Low,Very Low,Relatively Low,Very Low,Not Applicable,Relatively Moderate,Relatively Low,Very Low,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Very Low
Arizona,AZ,La Paz,Not Applicable,Not Applicable,No Rating,Relatively Moderate,Relatively Low,Very Low,Relatively Moderate,Very Low,Not Applicable,Relatively Low,Very Low,Relatively High,Very Low,Very Low,Not Applicable,Not Applicable,Relatively Low,Very Low
